frame,time,mode,selected_model,action_throttle,action_steer,carla_pos_x,carla_pos_y,carla_pos_z,carla_yaw_deg,speed_mps,model_pos_x,model_pos_y,model_pos_z,model_rot_0,model_rot_1,model_rot_2,model_rot_3
1,0.05,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.5314000844955444,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.5461000204086304,0.9999990463256836,0.0,0.0,0.0013892637798562646
2,0.1,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.5167001485824585,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.5314000844955444,0.9999990463256836,0.0,0.0,0.0013892637798562646
3,0.15000000000000002,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.5020002126693726,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.5167001485824585,0.9999990463256836,0.0,0.0,0.0013892637798562646
4,0.2,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.4873002767562866,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.5020002126693726,0.9999990463256836,0.0,0.0,0.0013892637798562646
5,0.25,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.4726003408432007,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.4873002767562866,0.9999990463256836,0.0,0.0,0.0013892637798562646
6,0.30000000000000004,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.45790040493011475,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.4726003408432007,0.9999990463256836,0.0,0.0,0.0013892637798562646
7,0.35000000000000003,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.4432004690170288,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.45790040493011475,0.9999990463256836,0.0,0.0,0.0013892637798562646
8,0.4,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.42850053310394287,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.4432004690170288,0.9999990463256836,0.0,0.0,0.0013892637798562646
9,0.45,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.41380059719085693,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.42850053310394287,0.9999990463256836,0.0,0.0,0.0013892637798562646
10,0.5,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.3991006910800934,0.15919795632362366,0.4899999797344208,-64.64484405517578,24.471010208129883,0.41380059719085693,0.9999990463256836,0.0,0.0,0.0013892637798562646
